Date;Price;Open;High;Low;Vol.;Change %
03/08/2011;118.554;118.224;119.015;116.775;6.14M;0.90%
03/07/2011;117.500;118.356;120.200;115.656;8.03M;-1.44%
03/04/2011;119.212;120.200;122.308;118.817;6.89M;0.33%
03/03/2011;118.817;121.517;122.835;118.092;9.23M;-1.47%
03/02/2011;120.595;118.685;121.649;117.368;6.97M;0.22%
03/01/2011;120.332;123.757;124.481;119.871;5.80M;-1.93%
02/28/2011;122.703;122.505;124.218;120.925;5.61M;-0.59%
02/25/2011;123.427;121.781;124.086;121.583;4.71M;1.85%
02/24/2011;121.188;120.530;122.439;120.266;6.15M;-0.49%
02/23/2011;121.781;120.003;123.559;120.003;8.17M;0.76%
02/22/2011;120.859;119.871;122.439;118.685;5.22M;-1.82%
02/21/2011;123.098;129.750;130.014;122.835;9.34M;-5.75%
02/18/2011;130.607;132.220;133.373;128.894;6.56M;-0.70%
02/17/2011;131.529;130.541;132.385;129.553;6.84M;0.81%
02/16/2011;130.475;125.733;130.804;125.601;8.20M;3.93%
02/15/2011;125.535;122.505;125.799;121.781;7.58M;3.25%
02/14/2011;121.583;123.691;124.020;121.188;3.92M;-0.91%
02/11/2011;122.703;120.661;123.493;120.003;4.73M;0.70%
02/10/2011;121.847;121.913;122.637;119.937;5.86M;-0.75%
02/09/2011;122.769;123.098;124.152;121.913;5.76M;-0.37%
02/08/2011;123.230;124.547;124.811;121.979;7.01M;-1.84%
02/07/2011;125.535;124.481;127.247;124.481;6.13M;1.17%
02/04/2011;124.086;123.098;125.469;122.374;6.43M;2.11%
02/03/2011;121.517;123.625;126.391;120.793;8.91M;-2.07%
02/02/2011;124.086;121.913;124.481;121.056;7.64M;3.01%
02/01/2011;120.464;119.541;120.530;117.302;6.01M;1.11%
01/31/2011;119.146;119.278;121.188;117.763;6.63M;-0.99%
01/28/2011;120.332;121.386;124.350;119.739;7.46M;-1.14%
01/27/2011;121.715;118.685;122.374;117.105;6.54M;2.44%
01/26/2011;118.817;121.188;122.176;118.027;5.59M;-1.47%
01/25/2011;120.595;124.481;125.074;119.673;6.27M;-2.50%
01/24/2011;123.691;121.517;123.691;120.530;5.72M;2.23%
01/21/2011;120.991;120.793;123.757;120.134;8.45M;0.82%
01/20/2011;120.003;116.841;121.517;116.314;8.76M;2.19%
